"danceability","energy","key"
0.453,0.32,3
0.478,0.359,4
0.516,0.913,1
0.706,0.508,2
0.56,0.567,2
0.861,0.499,0
0.588,0.322,5
0.648,0.572,7
0.409,0.404,2
0.385,0.407,7
0.569,0.629,7
0.652,0.432,3
0.602,0.429,0
0.638,0.915,4
0.438,0.876,2
0.234,0.88,6
0.654,0.888,10
0.506,0.922,11
0.566,0.794,0
0.751,0.748,4
0.375,0.67,0
0.423,0.723,2
0.612,0.826,5
0.595,0.542,8
0.601,0.712,2
0.721,0.534,7
0.626,0.534,6
0.549,0.574,1
0.481,0.497,7
0.359,0.551,7
0.545,0.589,2
0.425,0.524,7
0.583,0.247,4
0.619,0.647,7
0.627,0.0536,3
0.851,0.0843,9
0.636,0.0558,11
0.678,0.0456,5
0.619,0.109,5
0.585,0.119,8
0.696,0.0699,6
0.549,0.058,5
0.593,0.0378,4
0.736,0.0366,7
0.554,0.0199,7
0.606,0.0904,2
0.495,0.0806,4
0.787,0.135,10
0.857,0.332,8
0.657,0.0808,2
0.575,0.0385,5
0.743,0.0336,3
0.818,0.0412,7
0.647,0.106,7
0.545,0.0471,5
0.71,0.135,8
0.656,0.0823,4
0.415,0.0481,11
0.493,0.0327,10
0.539,0.089,3
0.376,0.0324,4
0.426,0.0241,1
0.614,0.0515,8
0.39,0.0581,4
0.531,0.115,7
0.68,0.0876,0
0.325,0.0174,2
0.555,0.0817,10
0.452,0.0182,1
0.354,0.0327,0
0.427,0.493,6
0.476,0.616,1
0.619,0.49,0
0.569,0.513,2
0.36,0.178,11
0.622,0.476,8
0.433,0.534,1
0.563,0.334,7
0.439,0.454,7
0.587,0.573,10
0.727,0.735,5
0.538,0.65,0
0.453,0.602,7
0.65,0.855,5
0.595,0.734,6
0.565,0.379,0
0.762,0.703,2
0.469,0.677,10
0.568,0.781,3
0.576,0.471,0
0.871,0.378,11
0.68,0.787,2
0.646,0.877,5
0.523,0.839,4
0.554,0.835,0
0.451,0.901,7
0.871,0.639,9
0.68,0.745,3
0.656,0.837,5
0.731,0.587,9
0.57,0.814,11
0.499,0.842,5
0.576,0.425,4
0.333,0.841,8
0.629,0.725,8
0.636,0.712,10
0.524,0.557,0
0.509,0.569,3
0.535,0.445,4
0.815,0.821,10
0.613,0.53,4
0.622,0.321,10
0.484,0.721,10
0.75,0.615,5
0.583,0.293,0
0.421,0.364,4
0.346,0.374,9
0.331,0.308,5
0.586,0.32,4
0.392,0.257,0
0.517,0.438,0
0.404,0.316,2
0.531,0.276,2
0.408,0.445,4
0.475,0.272,4
0.603,0.525,7
0.389,0.831,7
0.48,0.748,9
0.52,0.515,0
0.64,0.457,6
0.471,0.821,10
0.46,0.689,4
0.483,0.812,8
0.406,0.808,1
0.387,0.758,8
0.427,0.724,6
0.266,0.096,7
0.427,0.221,11
0.458,0.519,8
0.17,0.335,1
0.451,0.181,4
0.498,0.425,2
0.374,0.668,9
0.364,0.301,7
0.447,0.236,7
0.352,0.22,7
0.219,0.43,9
0.419,0.0167,2
0.488,0.227,0
0.646,0.382,4
0.586,0.244,8
0.688,0.0384,0
0.423,0.015,8
0.633,0.217,1
