"loudness","mode","speechiness"
-5.128,0,0.0624
-5.27,0,0.0316
-6.748,0,0.0319
-4.651,1,0.0399
-6.375,1,0.0359
-22.859,1,0.191
-8.518,1,0.0608
-19.48,1,0.0425
-10.146,0,0.109
-15.731,1,0.0507
-23.64,1,0.0492
-14.827,0,0.029
-8.072,1,0.079
-15.576,0,0.0383
-14.176,0,0.0313
-11.366,1,0.0437
-9.832,1,0.042
-15.878,1,0.0371
-13.746,0,0.0361
-24.212,1,0.0482
-9.373,1,0.037
-7.274,1,0.384
-4.497,0,0.334
-8.946,0,0.404
-4.844,1,0.293
-7.401,1,0.326
-6.706,1,0.446
-7.442,1,0.338
-7.399,1,0.295
-5.151,1,0.439
-7.051,1,0.421
-8.007,1,0.421
-7.482,0,0.33
-7.298,1,0.419
-8.084,0,0.462
-4.62,1,0.436
-6.976,1,0.227
-8.446,1,0.376
-6.665,0,0.218
-6.446,0,0.12
-5.595,1,0.128
-7.384,0,0.0406
-8.471,0,0.0373
-10.765,1,0.0483
-9.282,1,0.0391
-9.847,0,0.0508
-8.235,1,0.0504
-9.459,1,0.0381
-9.671,1,0.0364
-9.45,1,0.0309
-9.805,1,0.0342
-9.356,1,0.0368
-5.865,1,0.0433
-6.302,0,0.0362
-5.72,1,0.0376
-7.415,1,0.174
-5.438,1,0.0378
-6.996,0,0.0327
-6.76,1,0.0381
-5.337,1,0.0541
-8.712,1,0.0747
-11.597,1,0.0248
-5.77,1,0.035
-6.528,1,0.062
-23.858,1,0.0471
-29.865,1,0.0451
-22.41,1,0.0845
-30.615,1,0.045
-30.226,1,0.0503
-25.152,1,0.0675
-24.916,1,0.049
-25.272,0,0.0418
-27.489,0,0.0497
-19.805,0,0.0812
-24.308,1,0.0451
-18.918,0,0.151
-8.32,0,0.0327
-8.948,0,0.0365
-9.995,1,0.0365
-7.53,1,0.0413
-8.643,0,0.0497
-11.282,1,0.0358
-8.547,1,0.0325
-8.907,1,0.0381
-8.867,1,0.0369
-18.104,0,0.0319
-5.687,1,0.046
-5.406,1,0.048
-5.112,1,0.0795
-5.164,1,0.131
-4.089,0,0.0786
-4.731,1,0.0332
-5.878,0,0.0663
-4.794,1,0.0393
-5.198,0,0.0999
-6.794,0,0.0456
-4.848,0,0.0678
-7.095,1,0.0756
-6.891,0,0.0542
-6.719,0,0.0514
-17.116,1,0.0413
-6.602,1,0.0939
-12.793,1,0.0335
-13.069,1,0.0448
-4.61,0,0.0321
-11.308,0,0.0352
-5.288,1,0.0667
-7.424,1,0.0344
-8.185,1,0.0311
-7.661,0,0.141
-5.883,1,0.0509
-7.263,0,0.0574
-8.069,1,0.0503
-8.948,1,0.0301
-8.028,0,0.034
-8.574,1,0.0598
-9.936,0,0.0606
-9.785,0,0.0989
-9.689,1,0.0756
-7.501,1,0.0705
-6.929,1,0.0518
-6.662,0,0.0622
-5.779,1,0.0661
-7.231,1,0.039
-4.015,0,0.0688
-6.868,1,0.0688
-9.589,0,0.0483
-9.907,1,0.0448
-8.758,0,0.0498
-7.409,0,0.07
-9.42,0,0.0409
-10.311,0,0.0375
-6.342,0,0.051
-10.591,1,0.0517
-4.834,1,0.0265
-6.677,1,0.0369
-7.386,1,0.0268
-6.665,1,0.0335
-9.35,1,0.0275
-10.188,0,0.0276
-8.149,1,0.0288
-7.402,1,0.0641
-8.871,1,0.0289
-4.85,1,0.0267
-6.087,1,0.0315
-10.801,1,0.0307
-6.688,0,0.0554
-7.369,1,0.0282
-6.129,0,0.182
-8.212,1,0.0271
-7.606,1,0.0379
-9.199,0,0.0319
-10.8,1,0.0293
-13.172,1,0.0266
-6.576,1,0.032
-6.499,1,0.109
-8.746,1,0.0305
-8.098,0,0.0373
-5.316,1,0.03
-5.78,0,0.0324
-6.491,1,0.0313
-5.04,1,0.0276
-4.927,0,0.0282
-4.847,1,0.0294
-5.941,1,0.0587
-10.774,1,0.0273
-5.737,1,0.0473
-6.394,1,0.0311
-5.101,0,0.0398
-6.453,1,0.0284
-4.274,0,0.0726
-9.889,1,0.222
-5.581,1,0.0419
-5.992,1,0.0286
-7.705,1,0.0339
-11.983,1,0.0343
-24.989,1,0.0333
-5.011,1,0.0275
-6.57,1,0.0262
-8.029,0,0.0265
-10.371,1,0.0484
-4.95,0,0.0588
-5.994,0,0.0478
-6.672,1,0.115
-5.989,0,0.0423
-7.245,1,0.0421
-6.698,0,0.0334
-7.443,1,0.0352
-7.309,0,0.0404
-7.72,0,0.0392
-7.656,1,0.064
-6.264,0,0.0444
-5.517,1,0.0646
-7.326,0,0.124
-7.277,1,0.138
-7.089,1,0.102
-6.835,1,0.407
-5.269,1,0.0931
-6.111,0,0.0616
-5.883,0,0.227
-4.843,1,0.0696
-6.949,1,0.0861
-10.289,0,0.0402
-6.558,1,0.102
-5.27,1,0.0791
-6.03,1,0.0612
-7.446,1,0.0813
-16.597,1,0.0327
-13.125,0,0.0311
-13.14,0,0.0269
-16.995,1,0.0361
-14.113,1,0.0398
-17.563,1,0.0346
-15.611,1,0.0419
-13.114,0,0.0301
-20.654,0,0.0408
-16.143,1,0.0346
-18.91,1,0.0404
-10.782,1,0.155
-12.027,1,0.147
-10.001,1,0.0348
-11.838,1,0.0374
-10.697,1,0.0919
-13.483,1,0.196
-10.804,0,0.0425
-15.084,0,0.0338
-11.207,1,0.0454
-12.991,1,0.0663
-10.874,1,0.0279
-8.552,1,0.0429
-18.516,1,0.0824
-21.364,0,0.0277
-23.153,1,0.0528
-18.249,0,0.0957
-18.282,1,0.0493
-19.566,1,0.217
-20.267,1,0.0901
-16.714,1,0.087
-21.506,1,0.0365
-16.17,0,0.0698
-17.387,0,0.0912
-10.588,1,0.03
-10.537,1,0.03
-10.699,1,0.0272
-12.582,1,0.0318
-11.792,1,0.0395
-10.334,1,0.0293
-14.098,1,0.0395
-12.164,0,0.0292
