"valence","tempo","duration_ms"
0.696,113.722,236413
0.541,123.627,298760
0.709,154.238,108907
0.309,121.008,222800
0.141,79.996,228160
0.257,146.56,232693
0.142,113.518,264960
0.568,106.274,132107
0.964,148.804,182067
0.136,85.288,252093
0.605,155.931,148453
0.947,107.682,262960
0.84,128.706,126360
0.818,118.556,231613
0.57,82.318,165347
0.385,175.692,248800
0.859,112.623,202520
0.583,92.363,306467
0.533,134.033,145587
0.653,154.636,143133
0.299,79.944,202947
0.585,150.985,228760
0.365,80.972,244707
0.245,100.725,228360
0.468,84.475,206507
0.715,78.82,114067
0.194,81.214,266613
0.716,95.252,149267
0.333,87.618,144453
0.747,127.713,207667
0.842,95.084,155733
0.249,100.488,200707
0.214,104.633,156560
0.697,140.739,153093
0.0659,162.407,267840
0.488,143.125,204573
0.928,188.765,111453
0.0959,170.812,195893
0.642,142.157,186733
0.751,91.265,276573
0.671,148.073,130773
0.45,89.227,106827
0.254,152.897,173213
0.321,77.285,171227
0.328,128.013,376779
0.388,83.572,217883
0.358,150.144,241853
0.952,107.734,262960
0.776,201.629,151933
0.853,91.751,181267
0.823,142.094,155240
0.716,112.843,155973
0.84,128.706,126360
0.704,127.148,153240
0.407,139.986,267600
0.629,114.993,133867
0.963,148.837,182067
0.164,73.39,243133
0.468,84.475,206507
0.157,172.107,254773
0.606,97.173,142560
0.188,173.868,267227
0.715,78.825,114067
0.281,177.094,219960
0.707,149.48,158107
0.632,99.924,209360
0.625,179.379,169093
0.663,140.785,186773
0.559,143.741,136307
0.682,122.549,144133
0.728,145.605,168547
0.209,80.195,267253
0.634,110.54,160947
0.484,99.642,241600
0.237,120.406,258600
0.145,101.556,255723
0.566,81.419,232213
0.967,142.05,137733
0.515,131.431,195107
0.851,89.346,103173
0.703,95.226,149267
0.527,136.175,186600
0.0748,82.496,180667
0.361,123.917,216707
0.923,128.793,164480
0.246,82.296,143507
0.337,107.908,319693
0.843,142.971,239293
0.367,180.141,171387
0.551,148.603,235600
0.674,119.947,174120
0.336,133.867,204027
0.413,80.379,164120
0.333,87.619,144453
0.141,162.79,191227
0.0857,74.271,207253
0.673,204.033,442133
0.676,204.337,425493
0.217,78.375,446440
0.541,199.714,253000
0.262,103.347,614907
0.729,102.746,215733
0.282,82.85,472640
0.407,104.314,423213
0.279,126.095,392733
0.721,200.11,229333
0.686,96.983,252240
0.161,75.45,451840
0.358,150.144,241853
0.952,107.734,262960
0.776,201.629,151933
0.853,91.751,181267
0.823,142.094,155240
0.716,112.843,155973
0.84,128.706,126360
0.704,127.148,153240
0.407,139.986,267600
0.629,114.993,133867
0.963,148.837,182067
0.164,73.39,243133
0.468,84.475,206507
0.157,172.107,254773
0.606,97.173,142560
0.188,173.868,267227
0.715,78.825,114067
0.281,177.094,219960
0.707,149.48,158107
0.632,99.924,209360
0.625,179.379,169093
0.663,140.785,186773
0.559,143.741,136307
0.682,122.549,144133
0.728,145.605,168547
0.209,80.195,267253
0.634,110.54,160947
0.484,99.642,241600
0.237,120.406,258600
0.145,101.556,255723
0.566,81.419,232213
0.967,142.05,137733
0.515,131.431,195107
0.851,89.346,103173
0.703,95.226,149267
0.527,136.175,186600
0.0748,82.496,180667
0.361,123.917,216707
0.923,128.793,164480
0.246,82.296,143507
0.337,107.908,319693
0.843,142.971,239293
0.367,180.141,171387
0.551,148.603,235600
0.674,119.947,174120
0.336,133.867,204027
0.413,80.379,164120
0.333,87.619,144453
0.141,162.79,191227
0.0857,74.271,207253
0.777,80.153,164800
0.278,83.373,293373
0.872,147.483,174067
0.775,127.604,305533
0.37,103.207,202600
0.17,116.479,271627
0.301,78.266,231173
0.98,126.053,215413
0.533,123.28,202840
0.886,152.325,235960
0.322,130.418,297827
0.669,125.425,246853
0.207,120.221,255187
0.313,138.211,219760
0.127,135.441,219427
0.875,159.871,275600
0.117,182.146,294013
0.964,115.942,241920
0.49,131.006,189840
0.555,96.002,195160
